mapping_period,old_poz_no,new_poz_no,source_url,evidence,mapping_type
2026,25.175.1502,25.305.2109,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1502 25.305.2109,official
2026,25.175.1503,25.305.2110,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1503 25.305.2110,official
2026,25.175.1504,25.305.5000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1504 25.305.5000,official
2026,25.175.1505,25.305.5100,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1505 25.305.5100,official
2026,25.175.1506,25.305.5200,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1506 25.305.5200,official
2026,25.175.1507,25.305.6300,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1507 25.305.6300,official
2026,25.175.1508,25.305.6301,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1508 25.305.6301,official
2026,25.175.1509,25.305.6302,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1509 25.305.6302,official
2026,25.175.1510,25.305.6303,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1510 25.305.6303,official
2026,25.175.1511,25.305.6304,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1511 25.305.6304,official
2026,25.175.1512,25.305.6305,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.175.1512 25.305.6305,official
2026,35.135.2500,35.170.1901,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.135.2500 35.170.1901 35.515.1000,official
2026,35.140.2100,35.170.1902,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.140.2100 35.170.1902 35.515.2000,official
2026,35.140.2300,35.170.2100,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.140.2300 35.170.2100 35.515.3000,official
2026,35.140.2500,35.170.2110,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.140.2500 35.170.2110 35.515.4000,official
2026,35.140.2600,35.170.2112,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.140.2600 35.170.2112 35.515.7030,official
2026,35.140.3100,35.170.2114,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.140.3100 35.170.2114 35.515.7040,official
2026,35.140.3400,35.170.2116,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.140.3400 35.170.2116 35.515.7100,official
2026,35.140.3500,35.170.2118,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.140.3500 35.170.2118 35.515.7200,official
2026,35.140.5100,35.170.2120,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.140.5100 35.170.2120 35.515.8000,official
2026,35.140.5200,35.170.2200,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.140.5200 35.170.2200 35.740.1101,official
2026,35.140.5300,35.170.2400,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.140.5300 35.170.2400 35.740.1102,official
2026,35.150.1400,35.170.2600,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.150.1400 35.170.2600 35.740.1103,official
2026,35.150.1500,35.170.3050,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.150.1500 35.170.3050 35.740.1104,official
2026,35.150.2100,35.170.4000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.150.2100 35.170.4000 35.740.1105,official
2026,35.160.7200,35.170.4001,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.160.7200 35.170.4001 35.740.1106,official
2026,35.160.7400,35.170.4002,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.160.7400 35.170.4002 35.740.1107,official
2026,35.160.7405,35.170.4003,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.160.7405 35.170.4003 35.740.1108,official
2026,35.160.7410,35.170.4004,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.160.7410 35.170.4004 35.740.1109,official
